,coffee,cr_rating,coffee_origin,roaster,roaster_location,roast_level,aroma,acidity_structur,body,flavor,agtron,review,review_date,price_estimate
65,Ethiopia Gigesa Natural,93,"Guji Zone, Oromia Region, Ethiopia",Espresso Republic,"Chino, California",Medium-Light,9,8,9,9,58/76,"Fruit-centered, sweetly herbaceous. Bing cherry, marjoram, honeysuckle, salted caramel, fresh-cut oak in aroma and cup. Sweetly tart with brisk acidity; full, syrupy-smooth mouthfeel. The crisply sweet finish consolidates around notes of honeysuckle and oak.",July 2022,$15.95/12 ounces
66,Colombia Huila Finca Villabetuila Anaerobic Honey,93,"Huila Department, Colombia",Branch Street Coffee Roasters,"Youngstown, Ohio",Medium-Light,9,8,9,9,59/74,"Deeply and richly sweet, chocolaty. Dried blueberry, chocolate fudge, gardenia, cedar, hazelnut in aroma and cup. Sweet-toned structure with round, fruity acidity; full, creamy mouthfeel.",July 2022,$19.95/12 ounces
67,Costa Rica Bounty Gesha,94,"Dota, Tarrazú growing region, Costa Rica",Barrington Coffee Roasting Co.,"Lee, Massachusetts",Medium-Light,9,9,9,9,60/78,"Delicately fruit-toned, sweetly herbaceous. Passion fruit, lemon balm, cocoa nib, narcissus, sandalwood in aroma and cup. Bright, balanced structure with sweet malic acidity; full, syrupy-smooth mouthfeel. The finish consolidates to notes of cocoa nib and lemon balm.",July 2022,$39.45/12 ounces
68,Joker,93,Mexico; Ethiopia; Peru,Madness Roastworks,"Kota Kinabalu, Sabah, Malaysia",Medium-Light,9,8							,9,8,57/77,"Evaluated as espresso. Crisply sweet, deep-toned. Salted caramel, plum, grapefruit zest, fresh-cut oak, lily in aroma and small cup. Sweet structure with juicy-bright acidity; very full, satiny mouthfeel. The finish leads with notes of caramel and grapefruit zest. Complex and deep in three parts milk with lingering notes of florals and salted caramel.",July 2022,RM 130/350 grams
69,Tropical Grenade,92,Mexico; Panama; Colombia,Madness Roastworks,"Kota Kinabalu, Sabah, Malaysia",Medium-Light,9,9							,9,7,58/77,"Evaluated as espresso. Crisply sweet, fruit-toned. Goji berry, cocoa powder, cashew, orange zest, cedar in aroma and small cup. Sweet-toned structure with gentle acidity; satiny-smooth mouthfeel. Nut- and cocoa-toned finish. Chocolate-toned and citrusy in three parts milk.",July 2022,RM 120/350 grams
70,The Godfather,92,Ethiopia; Panama; Peru,Madness Roastworks,"Kota Kinabalu, Sabah, Malaysia",Medium-Light,9,8							,9,8,56/70,"Evaluated as espresso. Floral-toned, gently spicy. Freesia, baking chocolate, candied walnut, fresh-cut cedar, agave syrup in aroma and small cup. Crisply sweet structure with brisk acidity; lightly satiny mouthfeel. Bittersweet finish with notes of freesia and candied walnut. Crisply chocolaty in cappuccino-scaled milk.",July 2022,RM 120/350 grams
71,Panama Static Gesha Natural,95,"Boquete growing region, Panama",PT's Coffee Roasting Co.,"Topeka, Kansas",Medium-Light,9,9,9,9,58/77,"Fruity, spice-toned, sweetly fermenty. Cherry liqueur, tiramisu, gardenia, tangerine zest, sage in aroma and cup. Richly sweet structure with winey acidity; plush, creamy mouthfeel. Resonant finish, driven by notes of cherry liqueur and gardenia with undertones of sage.",July 2022,$45.00/12 ounces
72,Panama La Mula Geisha Washed,95,"Chiriqui Province, western Panama",GK Coffee,"Yilan, Taiwan",Light,9,9,9,9,60/82,"Elegantly bright, richly sweet. Apricot, bergamot, cocoa nib, sandalwood, star jasmine in aroma and cup. Balanced structure with high-toned acidity; silky, viscous mouthfeel. Long, lingering finish centers around notes of cocoa nib and apricot, with a shimmer of star jasmine.",July 2022,NT $1800/60 grams
73,Esmeralda Estate Panama Geisha,94,"Boquete growing region, western Panama",Difference Coffee,"London, England",NA,9,9							,9,8,0/0,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Crisply sweet, floral-toned. Lilac, plum, almond, cocoa nib, lemon verbena in aroma and small cup. Silky-smooth mouthfeel; crisp finish with notes of cocoa nib and lemon verbena. In cappuccino format, cocoa notes are further elevated and sweet herb notes provide bright ballast.",July 2022,£50/10 capsules
74,Costa Rica San Gabriel SL28 Anaerobic Natural,94,"Mercedes Sur, Turrubares, San José Province, Costa Rica",GK Coffee,"Yilan, Taiwan",Medium-Light,9,9,9,9,58/76,"Deeply sweet-savory, unusual. Caramel, goat milk yogurt, raspberry, cedar, sage in aroma and cup. Richly bittersweet in structure with bright acidity; syrupy mouthfeel. Savory-leaning finish with undertones of caramel and sage.",July 2022,NT $600/200 grams
75,Costa Rica San Gabriel Pina/Canela Anaerobic Honey Espresso,93,"Mercedes Sur, Turrubares, San José Province, Costa Rica",GK Coffee,"Yilan, Taiwan",Medium-Light,9,8							,9,8,58/78,"Evaluated as espresso. Richly aromatic, fruity, spice-toned. Baking spices, pineapple, dark chocolate, cedar, apple cider in aroma and small cup. Crisp, velvety mouthfeel; spice-toned, fruity finish. In three parts milk, suggests a pineapple milkshake.",July 2022,NT $600/200 grams
76,John Co. Train Blend,91,Brazil; Guatemala; Nicaragua,Dear John Coffee,"Songshan District, Taipei City, Taiwan",Medium-Light,9,8,8,9,55/71,"Quietly confident, gently bright. Pear, almond, lily, fir, orange zest in aroma and cup. Crisply bittersweet structure with brisk acidity; delicate, silky mouthfeel. The gently drying finish leads with notes of orange zest and fir.",July 2022,NT $460/454 grams
77,Burundi Kibingo Intenso,94,"Kayanza Province, Burundi",Regent Coffee,"Glendale, California",Medium-Light,9,9,8,9,57/74,"High-toned, richly sweet and deep. Nectarine, cherry blossom, hazelnut, lemon-thyme, dark chocolate in aroma and cup. Sweet structure with bright, juicy acidity; crisp mouthfeel. Long, flavor-laden finish that carries forward all the aroma and flavor notes from the cup.",June 2022,$21.00/12 ounces
78,Colombia Planadas Ibague,93,"Tolima Department, Colombia",Jaunt Coffee Roasters,"San Diego, California",Medium-Light,9,8,9,9,59/77,"Sweetly savory, fruit-driven. Candy apple, lime zest, baking chocolate, cedar, narcissus in aroma and cup. Bittersweet structure with brisk acidity; crisp, satiny mouthfeel. Finish consolidates to notes of chocolate and citrus.",June 2022,$26.00/12 ounces
79,Burundi Kabarore Commune,92,"Kayanza Province, Burundi",Jaunt Coffee Roasters,"San Diego, California",Medium-Light,9,8,8,9,56/72,"Delicate, balanced, sweet-toned. Baking chocolate, pear, almond, fresh-cut oak, agave syrup in aroma and cup. Brisk acidity; velvety-smooth mouthfeel. Sweetly nutty finish supported by notes of agave and oak.",June 2022,$20.00/12 ounces
80,Ecuador Peñaherrera AAA,95,"Ibarra, Imbabura Province, Ecuador",Bird Rock Coffee Roasters,"San Diego, California",Medium-Light,9,9,9,9,58/76,"Richly sweet, high-toned. Mulberry, dark chocolate, agave syrup, lemon verbena, cedar in aroma and cup. Sweet in structure with juicy-bright acidity; very full, syrupy mouthfeel. Resonant, long, flavor-saturated finish.",June 2022,$25.00/12 ounces
81,Panama Hacienda La Esmeralda Porton 5N49 Gesha Natural,95,"Alto Quiel, Panama",PT's Coffee Roasting Co.,"Topeka, Kansas",Medium-Light,9,9,9,10,60/77,"Juicy, balanced, bright. Bing cherry, wisteria, cocoa nib, blood orange, marjoram in aroma and cup. Sweetly tart with citrusy acidity; plush, syrupy mouthfeel. The crisply sweet finish centers around notes of cherry and cocoa nib.",June 2022,$65.00/8 ounces
82,Kona SL34 Champagne Natural Uluwehi Farm,95,"Holualoa, Kona, Big Island of Hawai’i",Paradise Roasters,"Minneapolis, Minnesota",Medium-Light,9,9,9,9,58/76,"Fruit-forward, elegantly bright. Lychee, passionfruit, cashew butter, sandalwood, bergamot in aroma and cup. Sweetly tart with vibrant acidity; crisp, syrupy mouthfeel. Fruit-toned finish with undertones of cashew butter and sandalwood.",June 2022,$30.00/4 ounces
83,Ethiopia Yirgacheffe Adado,94,"Yirgacheffe growing region, southern Ethiopia",Merge Coffee Company,"Harrisonburg, Virginia",Medium-Light,9,9,9,9,60/78,"Delicate, richly aromatic, floral-toned. Narcissus, apricot, almond, Meyer lemon zest, fresh-cut oak in aroma and cup. Sweetly tart structure with juicy-bright acidity; vibrantly silky mouthfeel. The long finish centers around notes of narcissus and almond.",June 2022,$18.99/12 ounces
84,Costa Rica Cordillera de Fuego,93,"Tarrazu growing region, Costa Rica",Merge Coffee Company,"Harrisonburg, Virginia",Medium-Light,9,8,9,9,58/77,"Crisply sweet, deeply spice-toned. Cinnamon, date, raspberry, baking chocolate, amber in aroma and cup. Sweet structure with gently brisk acidity; full, satiny-smooth mouthfeel. The finish consolidates to notes of date and cinnamon with undertones of amber.",June 2022,$18.99/12 ounces
85,Tanzania Mbeya Mimba,95,"Mbozi, Mbeya growing region, southwestern Tanzania",Roadmap CoffeeWorks,"Lexington, Virginia",Medium-Light,9,9,9,9,58/76,"Balanced, vibrant, complex. Mulberry, dark chocolate, mustard seed, star jasmine, sandalwood in aroma and cup. Juicy-bright structure with vibrant phosphoric acidity; very full, syrupy mouthfeel. Long, flavor-saturated finish.",June 2022,$18.75/12 ounces
86,Costa Rica La Chumeca,94,"Santa Maria de Dota, Costa Rica",Roadmap CoffeeWorks,"Lexington, Virginia",Medium-Light,9,9,9,9,60/78,"Sweetly tart, juicy and vibrant. Pink grapefruit, nectarine, cocoa nib, lavender, cedar in aroma and cup. High-toned structure with sweet, lively acidity; full, syrupy mouthfeel. The resonant finish consolidates to notes of cocoa-toned fruit supported by cedar.",June 2022,$23.00/12 ounces
87,Ethiopia Sidamo Yirgalem,92,"Sidamo growing region, southern Ethiopia",Roadmap CoffeeWorks,"Lexington, Virginia",Medium-Light,9,8,8,9,61/77,"Crisply sweet, fruit-forward. Blueberry, baking chocolate, fresh-cut fir, cashew, magnolia in aroma and cup. Sweet-toned with gentle acidity; delicate, satiny mouthfeel. The quiet finish centers around notes of blueberry and fir.",June 2022,$19.50/12 ounces
88,Gesha Spirits,95,"Huila, Colombia",Mostra Coffee,"San Diego, California",Medium-Light,9,9,9,10,60/77,"High-toned, delicate, confident. Star-jasmine, cocoa nib, blood orange, black sage, sandalwood in aroma and cup. Sweet-toned structure with poised and elegantly bright acidity; very smooth, silky mouthfeel. Sandalwood notes contribute resonance to the floral-toned finish.",June 2022,$24.50/5.5 ounces
89,Kenya Nyeri Hill Farm AA TOP,94,"Nyeri growing region, south-central Kenya",Buon Caffe,"Taipei, Taiwan",Medium-Light,9,9,9,9,59/79,"Sweet-toned, richly aromatic. Red currant, honey, narcissus, cedar, lavender in aroma and cup. Sweetly tart with bright, juicy acidity; syrupy-smooth mouthfeel. The short finish consolidates to notes of red currant and honey, carrying far into the long.",June 2022,NT $349/8 ounces
90,Philippines Sitio Belis 1017,93,"Benguet, Philippines",Mostra Coffee,"San Diego, California",Medium-Light,9,9,8,9,59/76,"Sweetly pungent with savory undertones. Lychee, marjoram, cocoa nib, freesia-like flowers, roasted almond in aroma and cup. Crisply sweet structure with juicy acidity; smooth, satiny mouthfeel. Nutty, sweetly herbaceous finish.",June 2022,$26.50/6 ounces
91,Philippines Sitio Belis 1014,92,"Benguet Province, The Philippines",Mostra Coffee,"San Diego, Calfornia",Medium-Light,8,8,9,9,58/76,"Fruit-toned, sweetly herbaceous. Goji berry, lemon verbena, cedar, baking chocolate, malt in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Quietly chocolaty finish with citrus undertones.",June 2022,$26.50/6 ounces
92,Costa Rica Tarrazu Dota El Diosa Geisha,93,"Tarrazu growing region, Costa Rica",Buon Caffe,"Taipei, Taiwan",Medium-Light,9,9,8,9,60/76,"High-toned, floral. Nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. Sweet structure with bright, juicy acidity; silky-smooth mouthfeel. The cocoa-toned finish is complicated by hints of lilac and cedar.",June 2022,NT $789/8 ounces
93,Ethiopia Gedeb Worka Single Variety 74110 G1,92,"Gedeb District, Gedeo Zone, southern Ethiopia",Buon Caffe,"Taipei, Taiwan",Medium-Light,9,8,8,9,58/76,"Crisply sweet and inviting. Caramel, pear, baking chocolate, fir, mustard flower in aroma and cup. Sweet-savory structure with gentle acidity; satiny mouthfeel. Notes of caramel and pear lead the finish, with undertones of baking chocolate.",June 2022,NT $349/8 ounces
94,Costa Rica Las Montañas Honey,94,"Tarrazú growing region, Costa Rica",Jackrabbit Java,"Thermopolis, Wyoming",Medium-Light,9,9,9,9,60/78,"Sweet-toned, delicate and deep. Dark chocolate, lychee, lemon verbena, maple syrup, hazelnut in aroma and cup. Brightly sweet structure with juicy, balanced acidity; plush, syrupy mouthfeel. The finish centers around notes of chocolate and maple syrup.",June 2022,$14.00/12 ounces
95,Colombia Finca La Guaca Ají,94,"Pitalito Municipality, Huila Department, Colombia",Equator Coffees,"San Rafael, California",Light,9,9,9,9,62/80,"Elegant, delicate, rich-toned. Mango, cocoa nib, marjoram, lavender, cane sugar in aroma and cup. Sweetly tart structure with bright, juicy acidity; very full, syrupy mouthfeel. The pretty finish leads with lavender and cocoa nib.",June 2022,$19.50/6 ounces
96,44˚N 68˚W Bar Harbor,92,Costa Rica; Sumatra,Coffee Hound,"Brewer, Maine",Medium-Light,9,8,8,9,54/70,"Deeply sweet-savory. Dark chocolate, fresh humus, yellow plum, cashew, oak in aroma and cup. Sweet structure with brisk acidity; silky, lightly viscous mouthfeel. Finish consolidates to earthy chocolate and nut.",June 2022,$13.99/12 ounces
97,Panama Finca Santa Teresa,93,"Chiriquí Province, Panama",Jackrabbit Java,"Thermopolis, Wyoming",Medium-Light,9,9,8,9,59/77,"Balanced, deeply sweet. Dark chocolate, honeysuckle, date, orange zest, cedar in aroma and cup. Sweet-toned with bright, vibrant acidity; crisp, velvety mouthfeel. Chocolaty finish with undertones of orange zest.",June 2022,$14.00/12 ounces
98,Zambia Mafinga Hills Natural,92,"Northern Province, Zambia",Jackrabbit Java,"Thermopolis, Wyoming",Medium-Light,9,8,8,9,58/74,"Gently sweet-tart, fruit-toned. Goji berry, amber, grapefruit zest, agave syrup, cedar in aroma and cup. Crisply sweet structure with tart-leaning acidity; full, satiny mouthfeel. The finish leads with notes of sweet goji berry, backed up by perfumy amber notes.",June 2022,$14.00/12 ounces
99,Mexico Altura Natural Water Process Decaf,91,"Chiapas, Mexico",Jackrabbit Java,"Thermopolis, Wyoming",Medium-Light,8,8,9,9,57/74,"Crisply chocolaty, deep-toned. Baking chocolate, almond, lily, candy apple, fir in aroma and cup. Sweet structure with gently round acidity; full, crisply syrupy mouthfeel. Gently drying, quite chocolaty finish.",June 2022,$14.00/12 ounces
100,Area Code 207,90,Sumatra; Colombia,Coffee Hound,"Brewer, Maine",Medium,9,8,8,8,44/60,"Chocolaty and nut-toned. Chocolate fudge, raisin, gently scorched cedar, gardenia, grapefruit zest in aroma and cup. Bittersweet structure with round acidity; lightly syrupy mouthfeel. Gently drying, wood-framed finish.",June 2022,$13.99/12 ounces
101,Kenya Washed Kiambu Uklili AB Espresso,96,"Kiambu growing region, south-central Kenya",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9							,9,9,54/72,"Evaluated as espresso. Richly sweet-tart, high-toned, deeply aromatic. Dried pomegranate, honeysuckle, dark chocolate, amber, pink grapefruit zest in aroma and small cup. Plush, voluptuous mouthfeel; resonant, flavor-laden finish. Superb in cappuccino-scaled milk",June 2022,NT $400/8 ounces
102,Karatina Kenya,95,"Nyeri County, Kenya",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,58/76,"Berry-driven, complexly sweet-savory. Mulberry, praline, cocoa nib, lilac, tangerine zest in aroma and cup. Brightly sweet-savory structure with juicy, vibrant acidity; full, syrupy-smooth mouthfeel. Resonant, lingering, berry-toned finish, chocolaty and floral.",June 2022,$23.00/12 ounces
103,Karamo Ethiopia,94,"Sidama growing region, Ethiopia ",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,60/78,"Crisply sweet-tart. Passion fruit, lemon verbena, cocoa nib, freesia, cedar in aroma and cup. Gently tart structure with sweet, high-toned acidity; very smooth, satiny mouthfeel. Cocoa-toned finish supported by notes of lemon verbena and freesia.",June 2022,$19.00/12 ounces
104,Ethiopia Natural Shakisso Mormora 74112,95,"Guji Zone, Oromia Region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,54/76,"Gently fruit-forward, sweetly savory. Dark chocolate, raspberry coulis, star jasmine, cedar, tangerine zest. Sweet-savory structure with fruity-bright acidity; plush, syrupy mouthfeel. Chocolaty and fruit-driven in the finish, with support from notes of bittersweet citrus.",June 2022,NT $325/8 ounces
105,Ethiopia Washed Shakisso Mormora 74112,95,"Guji Zone, Oromia Region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,58/78,"Delicate, richly floral-toned. Lavender, blood orange, cocoa nib, almond butter, sandalwood in aroma and cup. Balanced structure with fine, floral-toned acidity; silky-smooth, vibrant mouthfeel. The long, sweet finish centers around notes of cocoa nib, lavender and blood orange.",June 2022,NT $325/8 ounces
