coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
"CafÃ© Tacuba La Familia, Finca bella vista, El Salvador",,"Almond, fruity, medium soft body, taste of sugar cane and caramel, soft sweet aftertaste.",,,others,medium,,
"La Semeuse Planadas, Colombia, Organic",,Fine floral notes of jasmine and fruity aromas of peach and black currant.,,,others,medium,,
City roastery house coffee,,"berry, clove, cola, mango, peach, red apple, tropical fruits",,,others,medium,,
"Henauer Coffee San Luis, P14",,"Medium-bodied, intense, complex, balanced with notes of hibiscus, nectarine and black tea.",,,others,medium,,
"Vertical Coffee Mexico Decaf, EspressorÃ¶stung",,"Brownies, plums, gingerbread, lots of sweetness, full body",,,others,medium,,
"Ojo de Cafe Colombia Geisha, FilterrÃ¶stung",,Bright roast with fantastic floral and sweet notes,,,others,medium,,
Tropical Mountains Angelito,,"Spicy, hazelnut, chocolate, slightly fruity and balanced.",,,others,medium,,
"Kafischmitte Aquiares, Costa Rica",,"Plums, ginger, licorice. Very sweet and fruity.",,,others,medium,,
Vertical Coffee Queen K,,Milk chocolate and stone fruit with full body,,,others,medium,,
Costadoro Espresso,,"full-bodied, elegant and aromatic",,,others,medium,,
"valandtins garden Isule Blend, Uganda",,"Sweet, crisp, chocolaty, balanced with a full body",,,others,medium,,
"Rast Sigri, Wahgi Valley",,"Nutty, slightly fruity and has a rich body, smells of ripe grapefruits.",,,others,medium,,
"Miro Coffee El Palto, Peru, EspressorÃ¶stung",,"Pear, grapefruit, caramelized pecan, soft body.",,,others,medium,,
Bristot Sublime,,"Intense, delicate and gentle at the same time. Toasted hazelnuts, cane sugar and dried fruit.",,,others,medium,,
ParanÃ Espresso Italiano,,"full-bodied, creamy and chocolaty",,,others,medium,,
"MAME Full Bloom, espresso roasting machine",,"nutty, soft, balanced",,,others,medium,,
"MAME El Paraiso red, filter roasting",,"intense, red fruits, notes of dragon fruit, pomegranate and hibiscus.",,,others,medium,,
"MAME El Paraiso pink, FilterrÃ¶stung",,"citrus, floral with notes of peach",,,others,medium,,
"Rast Iglesia, Finca Hamburgo",,"Smells like honey bread with aromas lime, Assam tea, almond and walnut.",,,others,medium,,
Golden Bean Coffee Indonesia,,"strong, intense, persistent with chocolate notes",,,others,medium,,
"Horizons Traditional, espresso roasting",,"Caramel, brown sugar, nut and sweet lime.",,,others,medium,,
"CafÃ© Tacuba Finca la Esperanza, El Salvador",,"Floral, taste of green apples, full round body, aftertaste of tangerines.",,,others,medium,,
El Imposible Roasters Karmin,,Fruity with aromas of grapefruit and bitter almond,,,others,medium,,
"valandtins garden Isule Natural, Uganda",,"Sweet, crisp, slightly fruity with a mild acidity",,,others,medium,,
Salimbene Cafeteria,,"Full-bodied, intense, round and bittersweet with strong body.",,,others,medium,,
Sirocco Platinum Cream,,"Fruity, floral, delicate and digestible",,,others,medium,,
"Blasercafé Terroir, Kenya Kianjege",,"Limited Edition: Lots of sweetness, fruity with notes of rose hips, oranges and cranberries. Silky mouthfeel",,,others,medium,,
El Imposible Roasters TÃ¼rkis,,Mild with aromas of walnut and apricot,,,others,medium,,
Rest Vilcabamba,,"spicy, slightly fruity, long lasting, smells floral and dark berries with aromas of dark chocolate",,,others,medium,,
"Horizonte Leal, EspressorÃ¶stung",,"Sweet, chocolate, orange and caramel",,,others,medium,,
"Birchbach Barokah Bersama, Espresso",,"Velvety intense, strawberry and passion fruit",,,others,medium,,
"Rast Vista Alegre, Vista Alegre Farm",,"Spicy, nutty, fragrant cacao with aromas of stone fruit, hazelnut and honey.",,,others,medium,,
"Ojo de Cafe Pan Drima Zede, FilterrÃ¶stung",,Very experimental Competition Coffee for filter methods.,,,others,medium,,
"BlasercafÃ© Terroir, Yemen Haraaz Sharqi",,"Limited Edition: Sweet spices, chocolaty with notes of caramel, stone fruit and brown sugar. Creamy, velvety mouthfeel.",,,others,medium,,
"Vertical Coffee Brazil Diamond, EspressorÃ¶stung",,Hazelnut and milk chocolate. A sweet and balanced cup with creamy body.,,,others,medium,,
Zermatt Roastery Maddog,,"Chocolate, nuts, oranges, molasses notes of white pepper and coconut.",,,others,medium,,
"La Semeuse Echemo, Ethiopia, Organic",,"Full-bodied, fruity, spicy, aromas with notes of grapefruit and chocolate on the finish.",,,others,medium,,
GM CaffÃ¨ Black Pearl,,"Special editions: Strong, full-bodied with notes of dark chocolate and licorice.",,,others,medium,,
"CafÃ© Tacuba La Familia, Finca los laureles, El Salvador",,Fruity and dark chocolate,,,others,medium,,
"drip roasters Rwanda Kamajumba, Espresso",,"Orange, black tea, chocolate",,,others,medium,,
"La Semeuse CaparaÃ³, Brazil",,"Balanced, round and sweet with notes of honey and molasses",,,others,medium,,
Golden Bean Coffee Honduras,,"Spicy, floral and fruity, gentle and soft body",,,others,medium,,
"CafÃ© Tacuba House blend, El Salvador",,House blend with a strong round body and complex fruity characteristics.,,,others,medium,,
"Rast Plantation, RFA",,"Sweet, spicy, smells of roasted hazelnuts with aromas of raspberries and chocolate.",,,others,medium,,
Golden Bean Coffee India,,"Chocolate, toasted bread, strong and full-bodied.",,,others,medium,,
Golden Bean Coffee Peru,,"Malt, cinnamon and pecan, balanced and full-bodied",,,others,medium,,
"Ojo de Cafe Guatemala La Senda, EspressorÃ¶stung",,"Nice sweet, slightly fruity and floral espresso.",,,others,medium,,
"Rast Antigua, La Ceiba",,"medium body, finest, light acidity and rich aroma of hazelnuts to bittersweet chocolate.",,,others,medium,,
"Ojo de Cafe Brazil, EspressorÃ¶stung",,"Classic espresso, full body, sweet and hardly acidity.",,,others,medium,,
Haenowitz & Page Guatemala Schwenderer,,"Very fruity, slightly syrupy mouthfeel, fine balance, complex aroma variety with lots of body.",,,others,medium,,
Haenowitz & Page Equador,,"Mild floral note, caramel nut, creamy chocolate, good body, fine sugar cane sweetness, syrupy mouthfeel, long aftertaste with a hint of citrus zest.",,,others,medium,,
"Rast Mandheling, Menagold, Gayo",,"spicy, floral, slightly nutty and fruity, medium body and long finish.",,,others,medium,,
Haenowitz & Page Ethiopia,,"Citrus, berries, bergamot, floral notes, lively acidity, light sweetness, round creamy body.",,,others,medium,,
"Rest Limu, Ethiopia",,"Sweet, fruity, floral, taste of apricot, tropical fruit and black tea.",,,others,medium,,
Salimbene Delicious,,"Strong, creamy, sweet with hazelnut notes",,,others,medium,,
"La Semeuse Baba, Indien",,"Woodsy, spicy, chocolaty, malt, hazelnuts and chocolate.",,,others,medium,,
GM Noble Coffee,,"sweet, velvety with a full finish",,,others,medium,,
SchreyÃ¶gg CaffÃ¨ Crema,,"creamy, aromatic and soft",,,others,medium,,
El Imposible Roasters Coral,,Fruity with aromas of grapefruit and bitter almond,,,others,medium,,
Jolly Venere,,"Sweet, floral, dried fruit, bitter cocoa with a medium body.",,,others,medium,,
Bristot Titian,,"A noble, creamy & nutty coffee that convinces with full body",,,others,medium,,
Claro Lalitpur,,"sweet, fruity and spicy",,,others,medium,,
CaffÃ¨ Vergnano Espresso,,"Fruity, chocolaty, full-bodied with a long finish",,,others,medium,,
CaffÃ¨ Vergnano Antica Bottega,,"velvety, soft, balanced with aromas of dark chocolate",,,others,medium,,
CaffÃ¨ Vergnano 100% Arabica Bio,,"velvety, soft, balanced with aromas of dark chocolate",,,others,medium,,
Gran Aroma Coffee House,,"Nutty, chocolaty, creamy and aromatic",,,others,medium,,
Diemme Blue Blend,,"chocolaty, creamy, harmonious, long lasting",,,others,medium,,
Diemme Aromatic Blend,,"Fruity, aromatic with nuances of chocolate",,,others,medium,,
GM CaffÃ¨ Incanto,,"Special edition: sweet, full-bodied with notes of chocolate and tobacco.",,,others,medium,,
"Vertical Coffee Ethiopia, Arsosala EspressorÃ¶stung",,"Strawberries, peach, caramel, full body",,,others,medium,,
Haenowitz & Page Villain,,"Commonly strong, deep, dark, intense with thick crema",,,others,medium,,
El Imposible Roasters Kobalt,,Fruity with aromas of grapefruit and bitter almond,,,others,medium,,
"Ojo de Cafe Colombia Barreras, EspressorÃ¶stung",,Slightly fruity espresso roast. Classic and balanced.,,,others,medium,,
"Ojo de Cafe Latino Blend, EspressorÃ¶stung",,"Classic espresso, much body, sweet and slightly fruity",,,others,medium,,
"Kaffa Opina Dembi, Wild Coffee Collection No 5",,"Delicate, soft in the mouth with notes of avocados, panna cotta and rose water",,,others,medium,,
CoffeeCurator CuvÃ©e No 1,,"Short, intense, heavy, nutty and strong.",,,others,medium,,
"Rast Sidamo, Kuru, Addis Ababa",,"floral, berry and with milk develops a fine caramel flavor",,,others,medium,,
"Rast Camar, Peru",,"Walnut, chocolate, bitter almond and grapefruit",,,others,medium,,
Kenya, south-central Kenya,"Nuanced, multi-layered. Almond brittle, pomegranate, dark chocolate, narcissus, lemon-thyme in aroma and small cup. Sweetly savory with juicy acidity; syrupy-smooth, vibrant mouthfeel with. Resonant, long, flavor-saturated finish.","Nyeri growing region,",,others,medium,CafeTaster,
Peru, Peru,"Rich-toned, chocolaty. Baking chocolate, cashew butter, date, magnolia, orange zest in aroma and cup. Sweet-toned with gentle, round acidity; very full, creamy mouthfeel. Finish consolidates to notes of crisp baking chocolate and cashew.","Cusco Province,",,others,medium,CafeTaster,
San Jose Mexico, Mexico,"Evaluated as espresso. Richly chocolaty, deeply sweet. Crisp apple, dark chocolate, hazelnut, fresh-cut oak, agave syrup in aroma and small cup. Velvety-smooth mouthfeel; chocolaty, nutty finish. In three parts milk, both chocolate and nut tones are amplified, while fruit falls back to a supporting role.","oatepec, Veracruz State,",,others,medium,JBC Coffee Roasters,
Bella Carmona Guatemala, Guatemala,"Evaluated as espresso. Caramel, almond butter, yellow plum, orange zest, cedar in aroma and small cup. Crisp, satiny mouthfeel; richly nut-driven finish. In three parts milk, almond and caramel tones commingle, supported by plum and cedar.","Antigua growing region,",,others,medium,JBC Coffee Roasters,
Karen J Kona Red Bourbon, “Big Island” of Hawai’i,"Deep-toned, complexly layered, vibrantly aromatic. Black cherry, honeysuckle, cocoa nib, sugar cane, lemon balm in aroma and cup. Richly bittersweet structure with tart, juicy acidity; crisp, satiny mouthfeel. Very long, nuanced, resonant finish.","Holualoa, North Kona growing district,",,others,medium,Hula Daddy Kona Coffee,
Nicaragua La Bastilla Estate Anaerobic, Nicaragua,"Deeply lactic-sweet, rich-toned. Bubblegum, rhododendron, cocoa nib, fresh leather, grape candy in aroma and cup. Richly bittersweet structure with tangy, lactic acidity; delicate, lightly syrupy mouthfeel. The sweet, long finish consolidates to notes of bubblegum and cocoa nib with undertones of rhododendron.","Jinotega,",,others,medium,RamsHead Coffee Roasters,
Ethiopia Worka Sakaro, southern Ethiopia,"Sweetly tart, fruit-driven, chocolaty. Berry melange, dark chocolate, freesia-like flowers, cedar, pink peppercorn in aroma and cup. Brightly sweet with vibrant, high-toned acidity; lively, syrupy mouthfeel. Long, lingering, flavor-saturated finish, juicy and bright.","Gedeb District, Gedeo Zone,",,others,medium,Red Rooster Coffee Roaster,
Colombia Geisha, Colombia,"Richly fruit- and floral-toned. Dried plum, plumeria, dark chocolate, amber, lemon-thyme in aroma and cup. Sweet-tart with balanced, fruity acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of plum, plumeria and dark chocolate.","Planadas, Tolima,",,others,medium,Jaunt Coffee Roasters,
Ethiopia Guji Hambela Dabaye, Ethiopia,"Delicately aromatic, richly sweet. Narcissus, honey, apricot, almond, Meyer lemon zest in aroma and cup. Sweetly tart structure with gently bright, floral acidity; smooth, silky mouthfeel. The finish consolidates to notes of honey and almond with undertones of narcissus.","Guji Zone, Oromia Region,",,others,medium,Jaunt Coffee Roasters,
Colombia Don Ruiz Anaerobic, Colombia,"Elegantly fruit-toned, very juicy. Ripe peach, dark chocolate, blueberry jam, almond butter, a hint of wine barrel in aroma and cup. Sweetly tart structure with bright, malic acidity; very smooth, syrupy mouthfeel. Integrated, harmonious, long finish.","Caldas,",,others,medium,Roadmap CoffeeWorks,
Colombia FUDAM Nariño, Colombia,"High-toned, richly sweet-tart. Red plum, almond nougat, marjoram, cedar, star jasmine in aroma and cup. Brightly sweet with high-toned acidity; syrupy-smooth mouthfeel. The finish leads with notes of star jasmine, rounding to almond nougat in the long.","La Union, Nariño,",,others,light,Roadmap CoffeeWorks,
Peru Walther Acuna, Peru,"Crisply sweet, delicately aromatic. Fig Newton, magnolia, hazelnut, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; very full, satiny mouthfeel. The gently drying finish consolidates to notes of hazelnut and fir.","La Coipa, Cajamarca,",,others,medium,Roadmap CoffeeWorks,
Sumatra Aceh Gayo Mountain Musara Honey Process, Indonesia,"Spice-toned, richly sweet. White peach, nutmeg, tuberose, cocoa nib, fresh-cut fir in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of cocoa nib and peach in the short, with fresh-cut fir and hints of tuberose resurfacing in the long.","Aceh Province, Sumatra,",,others,medium,Buon Caffe,
Ethiopia Guji Hambela Buku Saysa Natural Process, southern Ethiopia,"Delicately fruit-toned, gently tart. Dark chocolate, strawberry, jasmine, cedar, pink grapefruit zest in aroma and cup. Sweetly tart structure with juicy acidity; crisp, satiny mouthfeel. Chocolaty, fruit-toned finish, with undertones of cedar.","Guji Zone, Oromia Region,",,others,light,Buon Caffe,
Ethiopia Durato Bombe, southern Ethiopia,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long.","Sidamo growing region,",,others,light,Per’la Specialty Roasters,
Papua New Guinea Timuza Organic, Papua New Guinea,"Balanced, classic, sweetly bright. Blood orange, fresh-cut cedar, almond brittle, quietly complex flowers — freesia, lavender — in aroma and cup. Crisp, sweet-tart structure with smoothly bright acidity. Plush, lightly viscous mouthfeel. Sweet almond and fresh cedar carry the rich, gently drying finish.","Eastern Highlands,",,others,light,Magnolia Coffee,
Ethiopia Yirgacheffe Kochere, Ethiopia,"Crisp, spicy, orange-toned. Spice box, black currant, orange, cocoa, a hint of sweet flowers in aroma and cup. Sweet-tart structure with a briskly savory edge; full, plump mouthfeel. Rich and round in the finish","Kochere District, Gedeo Zone,",,others,medium,Cup to Cup Coffee Roasters,
Ethiopia Botabaa, Ethiopia,"Round, deep, yet delicately lively, sweetly nut-toned. Roasted pistachio, caramel, date, lime, freesia in aroma and cup. Complexly layered structure with light-footed, engaging acidity; lightly satiny mouthfeel. Long, layered finish","Kochere District, Gedeo Zone,",,others,medium,Evie's Cafe,
Ethiopia Sidama, Ethiopia,"Sweet, crisply brisk, orangy, balanced. Orange, freesia, fresh-cut fir, hints of cocoa nib and molasses. Bittersweet in structure with a sweet but brisk acidity. Lightly syrupy, lifty and lively mouthfeel. Gently but richly drying finish","Mirado Village, Bensa District, Sidama Zone,",,others,medium,Fieldheads Coffee Roasting,
Ethiopia Sidamo Washed, Ethiopia,"Richly and suavely bright, balanced. Milk chocolate, cedar, floral-toned vanilla, raspberry, hazelnut in aroma and cup. Very sweetly and lightly tart with gently bright acidity; satiny mouthfeel. Lightly drying but flavor-saturated finish leading with raspberry and vanilla.","Bombe Village, Bensa District, Sidamo growing region,",,others,medium,MK Coffee Roasters,
Papua New Guinea Baroida Estate Natural, Papua New Guinea,"Buoyant, delicate, vivacious. A bouquet of flowers — rose, magnolia, more — plus lemon, sandalwood, fresh tobacco in aroma and cup. Sweet-tart in structure with a big, savory bottom. Syrupy but lively mouthfeel. Rich, sweet, balanced finish","Eastern Highlands,",,others,medium,Red Rooster Coffee Roaster,
Bean Series Ethiopia Guji Raro, Ethiopia,"Suavely bright, quietly lively, balanced. Tangerine, hazelnut, cedar, cashew, floral vanilla in aroma and cup. Sweetly tart in structure; roundly bright acidity. Plush, buoyant mouthfeel. Impressive finish","Guji Zone, Oromia Region,",,others,light,St1 Cafe/Work Room,
